Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Chris Paddack","SDP","SP",384.75,101.61,-2.0085390905579215,-1.5017901580503095,-3.4845243110809085,-0.14287141461699454,-3.0816681426630055,-10.21939311696914,9.9078506423059,0.6884575253367604,"20099"
"Dinelson Lamet","SDP","SP/RP",362.07000732421875,61.2427,-4.998150159254135,-0.936102463232938,0.44647401000166737,-0.4487343378703802,-4.402584934513264,-10.339097884869052,9.9078506423059,0.56875275743685,"17186"
"Steven Matz","STL","SP",245,152.164,1.3063690567858257,-1.5017901580503095,-4.875039633903453,-4.960811434808784,-0.4941483333829406,-10.52542050335966,9.9078506423059,0.38243013894623845,"13361"
"Alex Cobb","SFG","SP",252.24000549316406,136.557,0.10767909638626831,-1.5017901580503095,-2.547391776384498,-5.122123303292293,-1.4894614094468124,-10.553087550787646,9.9078506423059,0.35476309151825536,"6562"
"Carlos Carrasco","NYM","SP",298.5199890136719,130.821,-1.1635115850963693,-1.5017901580503095,-4.224347714054816,-2.9884889322844197,-0.8350198117467312,-10.713158201232647,9.9078506423059,0.19469244107325467,"6632"
"Matt Barnes","BOS","RP",272.239990234375,62.4161,-3.6883425780565497,2.0210735191340845,-0.2864942037903522,-1.3914841017747699,-3.6453714262163417,-6.99061879070393,6.126448073082172,0.13582928237824288,"12863"
"Tanner Houck","BOS","SP",197.42999267578125,115.852,-2.0134227567564076,-1.4470669473045905,-2.927397260404641,-3.26821664450015,-1.2128083690686466,-10.868911978034436,9.9078506423059,0.03893866427146331,"19879"
"Corey Kluber","TBR","SP",354.17999267578125,123.689,-1.0158999535012199,-1.5017901580503095,-3.011450340817786,-3.8420934179969586,-1.53457476081072,-10.905808631176994,9.9078506423059,0.0020420111289061182,"2429"
"James Karinchak","CLE","RP",419.3299865722656,61.9529,-3.893009681169437,0.12032476764929675,0.7176950560440549,-0.41871084631576777,-3.7127892235878193,-7.186489927379672,6.126448073082172,-0.060041854297498976,"20151"
"Jake McGee","SFG","RP",265.5400085449219,58.8114,-5.415216540819544,3.1539266098487886,0.14711718302194968,0.35294571012754955,-5.441301301965282,-7.202528339786538,6.126448073082172,-0.07608026670436585,"7550"
"Andrew Heaney","LAD","SP",306.5400085449219,127.818,-0.46842826818905836,-1.5017901580503095,-6.70861586874802,-1.9131750825688558,-0.6010040760423492,-11.193013453598592,9.9078506423059,-0.2851628112926923,"15423"
"Pierce Johnson","SDP","RP",402.7799987792969,59.6701,-5.146440102499738,2.9874778741508026,0.43845685790561245,-1.2335327360672237,-4.540570300955614,-7.4946084074661625,6.126448073082172,-0.368160334383989,"13435"
"Dylan Floro","MIA","RP",229.17999267578125,63.6026,-4.215934890100141,3.690260250839103,0.36181608192781795,-1.981226555441528,-5.581741735691947,-7.726826848466694,6.126448073082172,-0.6003787753845224,"13394"
"Huascar Ynoa","ATL","SP",235.1300048828125,124.177,-1.8704882328021408,-1.4252298747038843,-3.7919733306869556,-3.2943374511958994,-1.1566364868200778,-11.538665376208959,9.9078506423059,-0.6308147339030581,"20468"
"Aaron Bummer","CHW","RP",586.6099853515625,62.5337,-4.565529696195183,-0.2825336873938698,2.4862424949415844,-0.9513855202000582,-4.511344558249828,-7.824550967097354,6.126448073082172,-0.6981028940151814,"16258"
"Sixto Sanchez","MIA","SP",333.760009765625,84.251,-3.0131364133580516,-1.5017901580503095,-1.1144000240941303,-1.4676297978943045,-4.546235694133364,-11.643192087530158,9.9078506423059,-0.7353414452242595,"19680"
"Diego Castillo","SEA","RP",381.760009765625,59.7832,-4.620176428404089,0.20718936784230313,1.1213647394149773,0.12529254979216412,-4.839403818125207,-8.005733589479851,6.126448073082172,-0.8792855163976792,"17496"
"Michael Pineda",,"SP",432.7799987792969,136.285,0.21630402181656697,-1.5017901580503095,-5.9013566134495,-2.4279834347453453,-2.1725589682630986,-11.787385152691686,9.9078506423059,-0.8795345103857861,"5372"
"Jameson Taillon","NYY","SP",301.7300109863281,139.431,-0.5048332144898373,-1.5017901580503095,-6.533881852039745,-2.565176750133039,-0.9196774358416467,-12.025359410554577,9.9078506423059,-1.1175087682486753,"11674"
"Domingo German","NYY","SP",399.510009765625,103.572,-2.3413675607428597,-1.5017901580503095,-4.520241079333611,-1.4093578019640074,-2.4109388971804027,-12.183695497271195,9.9078506423059,-1.275844854965292,"17149"
"Camilo Doval","SFG","RP",152.36000061035156,60.9136,-4.0911353190795845,2.007914213270773,0.2889573137403117,-2.208550134389903,-4.400794532949348,-8.403608459407751,6.126448073082172,-1.277160386325579,"21992"
"Triston McKenzie","CLE","SP",228.33999633789062,136.58,-1.441934308056273,-1.5017901580503095,-7.098283729283801,-2.39215750416343,0.23517877654722028,-12.198986923006593,9.9078506423059,-1.2911362807006928,"18000"
"Pete Fairbanks","TBR","RP",495.0299987792969,59.5014,-3.6992191076972576,0.4393325357050024,0.41470438817214605,-1.353480112000246,-4.438321921894639,-8.636984217714994,6.126448073082172,-1.5105361446328223,"17998"
"Zack Greinke",,"SP",313.1300048828125,147.161,0.1868287819644317,-1.5017901580503095,-6.687611353780735,-2.5457603410858005,-2.074253287080159,-12.622586358032574,9.9078506423059,-1.7147357157266736,"1943"
"Anthony Bender","MIA","RP",417.6099853515625,64.4902,-5.595013771490956,0.5234187197451601,1.036365145786554,-0.2603663535255709,-4.709906051746576,-9.00550231123139,6.126448073082172,-1.8790542381492181,"19742"
"Mark Melancon","ARI","RP",133.24000549316406,62.523,-5.355128656412597,5.536714582280525,-0.35658650167764205,-3.1219536488434554,-5.804538018933021,-9.101492243586192,6.126448073082172,-1.975044170504019,"4264"
"Tylor Megill","NYM","SP",307.7200012207031,113.021,-2.2742209263152606,-1.5017901580503095,-4.569906397616626,-2.9259652350063936,-1.660820719288976,-12.932703436277563,9.9078506423059,-2.0248527939716645,"21318"
"Nestor Cortes","NYY","SP",354.75,120.743,-2.2624590822545434,-1.5017901580503095,-5.301172112442929,-2.7941291100841026,-1.3026054707820574,-13.16215593361394,9.9078506423059,-2.254305291308041,"17874"
"Gregory Soto","DET","RP",197.72999572753906,66.5662,-4.838721601316241,3.44376893304617,-0.31861109924751496,-3.449045330671598,-4.238851638682625,-9.40146073687181,6.126448073082172,-2.275012663789636,"19677"
"Aaron Civale","CLE","SP",265.3699951171875,162.746,1.1714609985892865,-1.5017901580503095,-8.00988553515308,-4.253743342730553,-0.7103668576959176,-13.304324895040573,9.9078506423059,-2.3964742527346714,"19479"
"Elieser Hernandez","MIA","SP",331.2799987792969,121.199,-3.6680949530799074,-1.5017901580503095,-5.365368522292478,-1.2671171592932953,-1.707934266274888,-13.510305058990879,9.9078506423059,-2.602454416684977,"16933"
"Hector Neris","HOU","RP",475.9100036621094,68.9659,-4.530002512711233,-0.2315886614948327,-0.5494130961514744,-0.6050604320442792,-3.8524887028456893,-9.768553405247507,6.126448073082172,-2.642105332165335,"11804"
